"DATE","US_CPI","EU_CPI","US_M2","EU_M2","EU_IR","US_IR","US_SHARE","dollar_min","dollar_max","dollar_median","dollar","MONTH"
1999-01-01,1.67079207920794,0.851414446580609,4416.9,3953.26,3.137,4.63,58.9662191873068,1.1384,1.179,1.1598,1.16078,1
1999-02-01,1.6059295861643,0.835616438356161,4410.475,3911.2,3.118,4.76,58.2997286090052,1.0969,1.1342,1.1245,1.120765,2
1999-03-01,1.72626387176327,1.02599179206565,4447.82,3929.38,2.9252,4.81,59.7840802400251,1.0692,1.1012,1.0898,1.08829565217391,3
1999-04-01,2.27692307692307,1.13264192139737,4510.25,3950.65,2.7091,4.74,62.1668620890372,1.0581,1.0867,1.0697,1.07044090909091,4
1999-05-01,2.08845208845208,0.994144082799929,4459.84,3979.5,2.551,4.74,62.9455527494763,1.0456,1.0799,1.0634,1.06280952380952,5
1999-06-01,1.96319018404907,0.939158840342985,4495.025,4005.34,2.5632,4.76,62.3427125425497,1.028,1.0474,1.0382,1.03775454545455,6
1999-07-01,2.14460784313725,1.0752688172043,4519.2,4021.98,2.5209,4.99,64.2542978108055,1.0124,1.0698,1.02365,1.03526818181818,7
1999-08-01,2.26438188494492,1.17022724180159,4534.76,3991.12,2.4427,5.07,61.5005964476692,1.0433,1.0791,1.0622,1.06035454545455,8
1999-09-01,2.62836185819072,1.30665577786852,4555.225,4000.41,2.4336,5.22,60.1979430965846,1.0342,1.0682,1.0496,1.05007727272727,9
1999-10-01,2.56097560975609,1.38869979577944,4571.525,4019.77,2.5019,5.2,59.3237406289936,1.0453,1.0869,1.0728,1.07063333333333,10
1999-11-01,2.62195121951219,1.52484683458133,4602.56,4049.15,2.9355,5.42,62.8075053373,1.0077,1.0572,1.0358,1.03382272727273,11
1999-12-01,2.68456375838926,1.82337733024901,4660.075,4142.3,3.0418,5.3,63.1987537761486,1.0015,1.0239,1.00935,1.01101363636364,12
2000-01-01,2.73889227023737,1.93357304592291,4674.3,4137.75,3.0429,5.45,62.8660189009962,0.9791,1.0388,1.0097,1.01369523809524,1
2000-02-01,3.22188449848025,2.02437767196322,4673.7,4133.65,3.2757,5.73,59.923865914473,0.9639,1.0068,0.9835,0.98342380952381,2
2000-03-01,3.75757575757575,2.05861720875323,4731.3,4143.89,3.5104,5.85,61.6246839648728,0.9543,0.9725,0.9647,0.96434347826087,3
2000-04-01,3.06859205776174,1.80857049673868,4814.475,4186.04,3.685,6.02,64.0181920098078,0.9085,0.9673,0.9539,0.94695,4
2000-05-01,3.18892900120338,1.86135346535924,4731.84,4177.62,3.92,6.27,63.338333076556,0.8875,0.9359,0.9047,0.905968181818182,5
2000-06-01,3.73044524669075,2.21213428523996,4759.5,4186.42,4.2945,6.53,64.3315696087416,0.9327,0.9668,0.9497,0.949177272727273,6
2000-07-01,3.65926814637075,2.18228059844159,4770.1,4184.94,4.3086,6.54,64.6789448372071,0.9216,0.9542,0.9389,0.939657142857143,7
2000-08-01,3.41113105924597,2.13933243073884,4805.225,4176.87,4.4191,6.5,65.9681386953433,0.8906,0.9264,0.9028,0.90405652173913,8
2000-09-01,3.45443716497914,2.47315619567113,4838.8,4182.5,4.5905,6.52,66.1083437956433,0.8476,0.9,0.8735,0.872114285714286,9
2000-10-01,3.44827586206897,2.47185651896388,4848.78,4187.28,4.7627,6.51,64.0261528872464,0.8252,0.8802,0.8518,0.855159090909091,10
2000-11-01,3.44622697563873,2.54911777203968,4881.5,4210.8,4.8291,6.51,63.9463567980976,0.8406,0.873,0.8565,0.856386363636364,11
2000-12-01,3.38680926916221,2.6,4939.125,4299.63,4.8268,6.4,63.8902560265013,0.8735,0.931,0.8908,0.897315789473684,12
2001-01-01,3.73222748815164,2.1,4981.02,4348.58,4.7559,5.98,64.4254143051348,0.9146,0.9545,0.94055,0.938281818181818,1
2001-02-01,3.53356890459364,2.1,5002.1,4355.58,4.9925,5.49,64.1760046978542,0.9056,0.9425,0.92165,0.921705,2
2001-03-01,2.92056074766355,2.3,5089.1,4385.08,4.7814,5.31,59.7594035523308,0.8832,0.9363,0.9042,0.909522727272727,3
2001-04-01,3.26911850554583,2.8,5167.06,4422.97,5.0642,4.8,60.092917488315,0.8772,0.9032,0.8945,0.892,4
2001-05-01,3.61516034985422,3.1,5109.225,4445.38,4.6536,4.21,63.8312518760744,0.848,0.8939,0.87705,0.874163636363636,5
2001-06-01,3.24825986078885,2.9,5159.475,4492.2,4.5395,3.97,62.4747183605462,0.8465,0.8662,0.8513,0.853166666666667,6
2001-07-01,2.7199074074074,2.6,5182.8,4479.92,4.5055,3.77,60.7987195162783,0.8384,0.8793,0.8597,0.860663636363636,7
2001-08-01,2.7199074074074,2.4,5224.325,4461.07,4.4913,3.65,59.8657046804808,0.8763,0.9216,0.909,0.900482608695652,8
2001-09-01,2.64824409902132,2.3,5330.225,4508.74,3.9865,3.07,54.5954165014004,0.8855,0.9269,0.91475,0.911095,9
2001-10-01,2.12643678160919,2.3,5316.2,4512.93,3.9713,2.49,55.0646399833664,0.8887,0.9214,0.9052,0.905865217391304,10
2001-11-01,1.89546237794372,2,5379.55,4565.04,3.5073,2.09,56.9918279251659,0.8778,0.9097,0.88435,0.888309090909091,11
2001-12-01,1.55172413793103,2.1,5456.82,4684.36,3.3389,1.82,57.7323768417139,0.8798,0.9049,0.8922,0.892372222222222,12
2002-01-01,1.14220445459737,2.6,5455.3,4655.66,3.2936,1.73,57.6208309001926,0.8578,0.9038,0.8848,0.883286363636364,1
2002-02-01,1.13765642775882,2.5,5464.2,4644.45,3.283,1.74,56.4110585016786,0.8632,0.8794,0.8697,0.870035,2
2002-03-01,1.47559591373441,2.5,5512.1,4670.24,3.264,1.73,59.4904195522896,0.8649,0.8853,0.87525,0.8758,3
2002-04-01,1.63934426229508,2.4,5533.78,4706.32,3.3162,1.75,58.1882073181068,0.8763,0.9038,0.8818,0.885842857142857,4
2002-05-01,1.1817670230726,2.1,5498.95,4728.2,3.31,1.75,57.0232031480119,0.903,0.9387,0.9148,0.917,5
2002-06-01,1.06741573033709,1.9,5534.225,4768.16,3.3485,1.75,53.9080649776182,0.9313,0.9975,0.94685,0.95544,6
2002-07-01,1.46478873239436,2,5569.5,4758.31,3.3017,1.73,48.2562166257774,0.9725,1.0146,0.991,0.992182608695652,7
2002-08-01,1.80281690140844,2.2,5620.325,4750.26,3.2927,1.74,48.7076452052338,0.9687,0.9873,0.97785,0.977759090909091,8
2002-09-01,1.51430173864273,2.1,5642.46,4792.13,3.3186,1.75,46.7630369904512,0.9649,0.9975,0.9796,0.980795238095238,9
2002-10-01,2.02588632526732,2.3,5684.4,4811.02,3.3004,1.75,45.5427749651946,0.9735,0.989,0.9814,0.981108695652174,10
2002-11-01,2.19842164599775,2.3,5747.25,4875.5,3.3043,1.34,47.8747501103986,0.9905,1.0126,1.0024,1.0013619047619,11
2002-12-01,2.37691001697794,2.3,5799.74,4981.45,3.0945,1.24,47.5248461326291,0.9871,1.0487,1.02165,1.018255,12
2003-01-01,2.5974025974026,2.2,5800.7,4923.61,2.7868,1.24,47.3498941437444,1.0377,1.087,1.06145,1.06218636363636,1
2003-02-01,2.98087739032619,2.4,5811.225,4951.52,2.7635,1.26,44.3759913048487,1.0706,1.091,1.07685,1.077295,2
2003-03-01,3.0201342281879,2.4,5874.58,5006.35,2.749,1.25,44.2455265722382,1.057,1.108,1.08,1.08065238095238,3
2003-04-01,2.22469410456062,2.1,5940.1,5052.35,2.5605,1.26,46.6297625363917,1.0582,1.1131,1.0833,1.08476,4
2003-05-01,2.05784204671857,1.9,5935.875,5109.43,2.5571,1.26,49.3649327095127,1.1218,1.1901,1.1597,1.15818095238095,5
2003-06-01,2.11228460255697,2,5985.22,5130.1,2.2133,1.22,52.2927561166465,1.1413,1.1854,1.1699,1.16628095238095,6
2003-07-01,2.10993892282067,2,6034.7,5124.23,2.0783,1.01,52.1439345372365,1.1138,1.1543,1.1355,1.13718260869565,7
2003-08-01,2.15827338129497,2.1,6091.625,5125.97,2.0981,1.03,52.2689671417125,1.0816,1.1392,1.1188,1.11386666666667,8
2003-09-01,2.32044198895027,2.2,6064.96,5136.98,2.0209,1.01,53.8006399608887,1.0783,1.1652,1.1226,1.12217272727273,9
2003-10-01,2.04081632653061,2.1,6051.5,5157.88,2.0148,1.01,55.2053133705746,1.1579,1.1788,1.1686,1.16919130434783,10
2003-11-01,1.7650303364589,2.2,6068.825,5206.04,1.973,1,56.1324277913295,1.1424,1.1994,1.17655,1.170195,11
2003-12-01,1.87949143173024,2,6095.9,5298,2.0567,0.98,58.5198481064585,1.1975,1.263,1.2258,1.2285619047619,12
2004-01-01,1.92625206384149,1.8,6067.8,5271.71,2.0214,1,61.4746448395017,1.2373,1.2828,1.2634,1.26131904761905,1
2004-02-01,1.69306389950846,1.7,6073.9,5273.55,2.0315,1.01,62.4027894914544,1.2418,1.2858,1.2646,1.264645,2
2004-03-01,1.73724212812162,1.7,6155.64,5310.22,2.0057,1,61.5773869871497,1.2118,1.2484,1.2256,1.2261652173913,3
2004-04-01,2.28509249183896,2.1,6239.9,5344.47,2.078,1,61.8444978395583,1.1826,1.232,1.1929,1.19854,4
2004-05-01,3.05177111716622,2.5,6242.86,5377.37,2.0152,1,59.7237200899298,1.1802,1.2246,1.2023,1.20072380952381,5
2004-06-01,3.26619488296135,2.4,6273.675,5408.01,2.0277,1.03,61.3312553882262,1.2001,1.2319,1.213,1.21383181818182,6
2004-07-01,2.99075584556824,2.3,6280.6,5428.44,2.0677,1.26,60.389811388082,1.2026,1.2412,1.23025,1.22658636363636,7
2004-08-01,2.65438786565547,2.4,6294.92,5397.92,2.0405,1.43,59.4989423740179,1.1983,1.2359,1.2179,1.21759545454545,8
2004-09-01,2.53779697624191,2.2,6337.15,5451.08,2.0518,1.61,61.3456786249972,1.2039,1.2409,1.22275,1.22178181818182,9
2004-10-01,3.18918918918919,2.4,6351.475,5490.29,2.1114,1.76,61.8998493521016,1.2267,1.2792,1.2414,1.24896666666667,10
2004-11-01,3.52303523035231,2.3,6395.22,5528.87,2.085,1.93,64.9732163302884,1.2705,1.3295,1.2974,1.29913636363636,11
2004-12-01,3.25556158437331,2.3,6448.45,5632.27,2.0535,2.16,66.8493609990995,1.3191,1.3633,1.3384,1.34076086956522,12
2005-01-01,2.96976241900649,1.9,6407.2,5637.3,2.0771,2.28,66.0967302803212,1.2936,1.3507,1.3085,1.31192857142857,1
2005-02-01,3.0075187969925,2.1,6405.675,5643.36,2.0585,2.5,67.8469994282217,1.2762,1.326,1.3033,1.301425,2
2005-03-01,3.14834578441835,2.2,6463.975,5680.39,2.0567,2.63,68.08076825277,1.2926,1.3416,1.3199,1.32006666666667,3
2005-04-01,3.51063829787233,2.1,6518.525,5738.28,2.0757,2.79,66.290413745532,1.281,1.3077,1.2957,1.29379047619048,4
2005-05-01,2.80274986779483,2,6454.22,5778.33,2.07,3,66.4794143416612,1.2331,1.2954,1.26355,1.26939545454545,5
2005-06-01,2.53031101739589,2,6513.825,5858.48,2.0623,3.04,67.7982039323925,1.2054,1.2324,1.21395,1.21649090909091,6
2005-07-01,3.16789862724393,2.1,6528.925,5896.53,2.0729,3.26,69.1415317571108,1.1883,1.2187,1.2063,1.20371904761905,7
2005-08-01,3.64116094986808,2.2,6548.78,5859.42,2.0609,3.5,70.0831630720183,1.2181,1.2457,1.2296,1.22924347826087,8
2005-09-01,4.68667719852555,2.6,6589.25,5939.64,2.0941,3.62,71.011588696116,1.2005,1.2541,1.2234,1.22564090909091,9
2005-10-01,4.34782608695652,2.5,6608.74,5976.94,2.0671,3.78,69.0557415955378,1.1933,1.2144,1.2012,1.20145238095238,10
2005-11-01,3.45549738219894,2.3,6656.15,6002.37,2.0859,4,71.1132069551844,1.1667,1.2041,1.17625,1.17857272727273,11
2005-12-01,3.41565948502364,2.3,6702.45,6168.74,2.2757,4.16,72.9563842256618,1.1697,1.202,1.1852,1.18560952380952,12
